"Part No","Description (EN)","Descripcion (ES)","Fits Model(s)","Category"
"2287AACL000S","Clutch cable","GUAYA CLUTCHHUNK 125R","Hunk 125R","Clutch & transmission"
"24701KST950S","Gear shift pedal","PEDAL CAMBIOS ECO DELUXE/ECO 100 (TODAS)/ISMART 100/SPLENDOR NXG","Eco Deluxe / Eco 100 / Splendor","Clutch & transmission"
"53178ACL000S","Lever","MANIGUETA CLUTCHHUNK 125R","Hunk 125R","Clutch & transmission"
"53178KFN850S","Lever","MANIGUETA CLUTCH","Multi-model","Clutch & transmission"
"K22222KTNA900S","Clutch","KIT DISCOS DE CLUTCH HERO TODAS","Multi-model","Clutch & transmission"
"20K1110S","Chain and sprocket kit","KIT ARRASTRE ECO","Eco","Drive & sprockets"
"23801GF6000S","Front sprocket","PINON DELANTEROHUNK 125R","Hunk 125R","Drive & sprockets"
"40530ACL00099S","Drive chain","CADENAHUNK 125R","Hunk 125R","Drive & sprockets"
"41201ACL000S","Rear sprocket","PLATO TRASEROHUNK 125R","Hunk 125R","Drive & sprockets"
"41241ABZ000S","Sprocket carrier rubber (cush drive)","CAUCHO PORTA SPROCKET HUKN 160R","Multi-model","Drive & sprockets"
"41241KSP900S","Sprocket carrier rubber (cush drive)","CAUCHO PORTA SPROCKET THRILLER","Thriller","Drive & sprockets"
"41241KST941S","Sprocket carrier rubber (cush drive)","CAUCHO PORTA SPROCKET ECO","Eco","Drive & sprockets"
"K41412ABZA000S","Chain and sprocket kit","KIT ARRASTRE HUNK 160R","Hunk 160R","Drive & sprockets"
"16410AAWB00S","MAP sensor","SENSOR MAPHUNK 125R","Hunk 125R","Electricals & lighting"
"31120ACL801S","Stator / magneto coil plate","STATOR O PLATO BOBINASHUNK 125R","Hunk 125R","Electricals & lighting"
"31120KSPB01S","Magneto coil plate","PLATO BOBINA THRILLER","Thriller","Electricals & lighting"
"3310BAAH10099S","Headlight assembly","FAROLA ECO DELUXE","Eco Deluxe","Electricals & lighting"
"33400ABZ001S","Right indicator","DIRECCIONAL DERECHAHUNK 125R","Hunk 125R","Electricals & lighting"
"33450ABZ001S","Left indicator","DIRECCIONAL IZQUIERDAHUNK 125R","Hunk 125R","Electricals & lighting"
"33600ABZ001S","Indicators","DIRECCIONALESHUNK 160R","Hunk 160R","Electricals & lighting"
"3360B-AAJ-101","Rear right indicator","DIRECCIONAL TRAS. DER ECO DELUXE","Eco Deluxe","Electricals & lighting"
"33650ABZ001S","Indicators","DIRECCIONALESHUNK 160R","Hunk 160R","Electricals & lighting"
"3365B-AAJ-101S","Rear left indicator","DIRECCIONAL TRAS. IZQ. ECO DELUXE","Eco Deluxe","Electricals & lighting"
"35010ACLE01S","Ignition switch kit","KIT SWITCHHUNK 125R","Hunk 125R","Electricals & lighting"
"11321KWA940S","Oil separator plate","PLATO SEPARADOR ACEITE ECO DELUXE (PLATANERA)","Eco Deluxe","Engine"
"12100ACL800S","Cylinder","CILINDROHUNK 125R","Hunk 125R","Engine"
"12191AANB0099S","Cylinder head gasket","EMPAQUE CULATA HUNK 125","Hunk 125R","Engine"
"12209AAN410S","Seal","SELLOHUNK 125R","Hunk 125R","Engine"
"12251AANB00S","Cylinder base gasket","EMPAQUE CILINDRO HUNK 125","Hunk 125R","Engine"
"12301GB6911S","Head cover","TAPA CULATIN DER. ECO DELUXE/SPLENDOR NXG/AKT 110","Eco Deluxe / Splendor","Engine"
"12391AANB01S","Head cover gasket","EMPAQUE CULATIN HUNK 125R","Hunk 125R","Engine"
"12391KRM840S","Head cover gasket","EMPAQUE CULATIN CBF 125/150/XR BRIO/150/THRILLER 150/INVICTA 150/MRX","Thriller 150 / Invicta / CBF 125","Engine"
"13011AAF00099S","Piston ring set (STD)","ANILLOS STD ECO","Eco","Engine"
"13011ABF001S","Piston ring set","ANILLOS XPULSE 200","Xpulse 200","Engine"
"13011ABZ000S","Piston ring set","ANILLOS HUNK 160R","Hunk 160R","Engine"
"13101AANB0099S","Piston","PISTONHUNK 125R","Hunk 125R","Engine"
"13111AANB00S","Piston pin","PASADOR PISTONHUNK 125R","Hunk 125R","Engine"
"13115001000S","Piston pin clip","PIN PISTONHUNK 125R","Hunk 125R","Engine"
"14100ABF000S","Camshaft","ARBOL DE LEVAS XPULSE 200","Xpulse 200","Engine"
"14100ABZ000S","Camshaft","ARBOL DE LEVAS HUNK 160R","Hunk 160R","Engine"
"14100ACL000S","Camshaft","ARBOL DE LEVASHUNK 125R","Hunk 125R","Engine"
"14100KVE900S","Camshaft","ARBOL DEL LEVAS CBF 150/INVICTA/THRILLER /XR 150 (14100-KTN-900S)","Thriller / Invicta / CBF 150 / XR 150","Engine"
"14401-AAG-00099S","Timing chain","CADENILLA HUNK 125R","Hunk 125R","Engine"
"14401AABA00S","Timing chain","CADENILLA XPULSE 200","Xpulse 200","Engine"
"14401KCW851S","Timing chain","CADENILLA THRILLER","Thriller","Engine"
"14430AANB00S","Rocker arm","BALANCINHUNK 125R","Hunk 125R","Engine"
"14430AAT000S","Rocker arm","BALANCIN IGNITOR","Ignitor","Engine"
"14430ABF000S","Rocker arm","BALANCIN XPULSE 200","Xpulse 200","Engine"
"14430ABZ000S","Rocker arm","BALANCIN HUNK 160R","Hunk 160R","Engine"
"14510-KVE-900S","Timing chain","GUIA TENSORA CADENILLA CBF 150 /XR 150/CBF 125/XR 125 BRIO/THRILLER 150/INVICTA/","Thriller 150 / Invicta / CBF 150 / CBF 125 / XR 150","Engine"
"14520ABW801S","Timing chain tensioner","TENSOR CADENILLA TODAS HERO","Multi-model","Engine"
"14711ACL000S","Valve","VALVULA ADMISIONHUNK 125R","Hunk 125R","Engine"
"14721ACL000S","Valve","VALVULA ESCAPEHUNK 125R","Hunk 125R","Engine"
"15100AANB0099S","Oil pump","BOMBA ACEITEHUNK 125R","Hunk 125R","Engine"
"21K120LS","Cylinder kit","KIT CILINDRO ECO 100 +/ECO DELUXE/SPLENDOR NXG/ISMART 100/C90/BIZ 100/WAVE STD.","Eco Deluxe / Eco 100 / Splendor","Engine"
"22K130LS","Timing chain kit","KIT CADENILLA DISTRIBUCION ECO 100 +/ECO DELUXE/SPLENDOR NXG/ISMART 100/C 90","Eco Deluxe / Eco 100 / Splendor","Engine"
"22K170S","Timing chain kit","KIT CADENILLA DISTRIBUCION CBF 150/XR 150/THRILLER/HUNK","Hunk / Thriller / CBF 150 / XR 150","Engine"
"24430KST900S","Timing cam","LEVA SINCRONIZACION ECO DELUXE/ECO 100 (TODAS)/SPLENDOR NXG/ISMART (TODAS)","Eco Deluxe / Eco 100 / Splendor","Engine"
"24K150LS","Valve kit","KIT VALVULAS ECO","Eco","Engine"
"24K170S","Valve kit","KIT VALVULAS THRILLER","Thriller","Engine"
"35753-035-010S","Neutral contact shim set (5)","JGO. 5 LAMINILLAS CONTACTO NEUTRA ECO 100 +/ECO DELUXE/SPLENDOR NXG/ISMART 100","Eco Deluxe / Eco 100 / Splendor","Engine"
"90801-035-000S","Gear selector plug set (10)","JGO. 10 TAPONES SELECTOR CAMBIOS ECO DELUXE/SPLENDOR NXG/ISMART 100/C 90 (19mm )","Eco Deluxe / Splendor","Engine"
"91201-GBG-900S","Oil separator plate","RETEN PLATO SEPARADOR ACEITE ECO MN./ECO DELUXE/SPLENDOR(30x42x4.5)(CON STARTE)","Eco Deluxe / Splendor","Engine"
"91203-GB5-760S","Oil seal","JGO. 5 RETENES PINON SALIDA ECO DELUXE/SPLENDOR NXG/C90/WAVE100/II/BIZ100/CB110","Eco Deluxe / Splendor","Engine"
"91204-GBG-850S","Magneto coil plate","RETEN PLATO BOBINAS ECO DELUXE MN/SPLENDOR NXG MN/WAVE 100/II (18.9x28x5)","Eco Deluxe / Splendor","Engine"
"91208-KB4-670S","Gear shaft oil seal set (5)","JGO. 5 RETENES EJE CAMBIOS ECO DELUXE (TODAS)/SPLENDOR NXG (TODAS) (11.6x24x10)","Eco Deluxe / Splendor","Engine"
"91255ABZ000S","Oil seal","RETEN BARRAS HUNK 160R","Hunk 160R","Engine"
"ACLAE0E001000GS","Piston ring set (STD)","ANILLOS STDHUNK 125R","Hunk 125R","Engine"
"K10123ABZC200S","Full gasket set","EMPAQUETADURA COMP. HUNK 160","Hunk 160R","Engine"
"K12121AANF410S","Cylinder kit","KIT CILINDRO IGNITOR","Ignitor","Engine"
"K12121AATA000S","Cylinder kit","KIT CILINDRO SPLENDOR ISMART 110 STD.","Splendor","Engine"
"K12121ABZA000S","Cylinder kit","KIT CILINDRO HUNK 160R","Hunk 160R","Engine"
"K12121KSTG940S","Cylinder kit","KIT CILINDRO ECO","Eco","Engine"
"K12122ABFA000S","Full gasket set","EMPAQUETADURA COMP. XPULSE 200","Xpulse 200","Engine"
"K13132KCCA900S","Connecting rod kit","KIT BIELA ECO 100 +/ECO DELUXE/SPLENDOR NXG/ISMART 100/C 90/BIZ 100/WAVE 100/II","Eco Deluxe / Eco 100 / Splendor","Engine"
"K14144-AAB-MA00S","Timing chain kit","KIT CADENILLA DISTRIBUCION XPULSE 200/FI/THRILLER 200/HUNK 190","Hunk / Xpulse 200 / Thriller","Engine"
"K14147AATA000S","Valve kit","KIT VALVULAS IGNITOR","Ignitor","Engine"
"K14147ABFA000S","Valve kit","KIT VALVULAS XPULSE","Xpulse 200","Engine"
"K55912KTNA901S","Engine oil seal kit","KIT RETENEDORES MOTOR THRILLER(TODAS)/CBF 125/150/XR 150 (SALIDACAMBIOSCLUTCH)","Thriller / CBF 125 / XR 150","Engine"
"18350AAHA00S","Exhaust muffler","MOFLE ECO DELUXE","Eco Deluxe","Exhaust"
"15410AAF40099S","Oil filter","FILTRO ACEITE HUNK 160 4V","Hunk 160R","Filters & service"
"15421-035-010S","Oil strainer filter","FILTRO TAMIZ ECO 100 +/ECO DELUXE/SPLENDOR NXG/ISMART 100/C 90/BIZ 100/WAVE 100","Eco Deluxe / Eco 100 / Splendor","Filters & service"
"17208AABA00S","Air filter","FILTRO AIRE HUNK 160R","Hunk 160R","Filters & service"
"17208AAT00099S","Air filter","FILTRO AIRE IGNITOR","Ignitor","Filters & service"
"17208ABW000S","Air filter","FILTRO AIRE XPULSE","Xpulse 200","Filters & service"
"17211KVN900S","Air filter","FILTRO AIRE CBF 150/INVICTA (TODAS)","Invicta / CBF 150","Filters & service"
"31916ACL001S","Spark plug","BUJIAHUNK 125R","Hunk 125R","Filters & service"
"31916KRM84099S","Spark plug","BUJIA HERO TODAS","Multi-model","Filters & service"
"25K160S","Steering cone races","KIT CUNAS DIR. (PEQUENAS) CB 125 F/ECO 100 + MV./XL 125","Eco 100","Steering & chassis"
"25K170S","Steering cone races","KIT CUNAS DIR. (GRANDES)CBF 125/150/CB 110/ECO DELUXE MN./POWER SPORT/THRILLER","Eco Deluxe / Thriller / CBF 125 / CB 110","Steering & chassis"
"25K17OS","Steering cone races","CUNAS HERO TODAS","Multi-model","Steering & chassis"
"53100-AAH-810S","Handlebar","MANUBRIO HERO ECODELUXE (NEGRO)","Eco","Steering & chassis"
"6110AACL000MS","Front mudguard","GUARDABARRO DELANTEROHUNK 125R","Hunk 125R","Steering & chassis"
"91001AAF400S","Crankshaft bearing","RODAMIENTO CIGUENALHUNK 125R","Hunk 125R","Steering & chassis"
"91002AAF400S","Crankshaft bearing","RODAMIENTO CIGUENALHUNK 125R","Hunk 125R","Steering & chassis"
